Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,602.2747788,577.2891245,604.6333472,581.5867023,398.3663677,483.5462923,467.5569374,418.7347805,414.0760238,416.8883719,372.1890022,391.957281,428.789839,538.697658,609.640698,614.8613273,640.7429838,712.1200098,786.1795769,768.733746,759.2631309,818.8613057,778.1058844,823.0230023,841.2055558,717.44885,
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,899.2987882,915.5546927,996.3399903,1331.125879,1073.443426,1251.809027,1256.49316,1197.175871,1242.987493,1379.073093,1229.044456,1258.557222,1363.592698,1759.256131,1970.891373,2049.615979,2316.47949,3145.653941,3698.313412,3517.385582,3393.927212,3766.111473,3497.689697,3648.936321,3661.168758,3080.178814,
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,2391.302218,2257.487569,2618.170363,2854.619346,3045.404955,3279.32744,3230.233257,3408.365101,3614.566404,3688.396397,3808.356898,3981.526055,4062.010966,4167.715117,4425.50641,4697.008923,5245.192241,6120.629021,6911.139256,6809.399264,8199.427257,9186.570433,9985.313797,10547.21016,10544.72003,11260.09216,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2965.279407,2894.698522,2820.942582,2944.978887,3096.575787,3368.089741,3638.806998,4034.096058,4391.119833,4631.508887,4981.38722,5091.664009,5331.549877,5683.719309,6204.508899,6985.096978,7796.756766,8612.698368,9756.620108,8152.481869,8799.589747,9458.540054,9703.504041,9770.943477,9705.419717,9405.830849,
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2706.975486,2280.123818,2057.22067,2071.510892,2621.135775,2790.176941,2283.564629,2305.927831,2330.78977,2559.866421,2749.481482,2841.095776,3003.297409,3201.223522,3398.637805,3786.843012,4677.771097,5193.519734,5385.740727,5495.049233,5688.649046,6092.601538,6448.327553,6789.699983,7088.084473,7650.232731,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,30190.66868,,,,,,,,,,64104.7516,,,,,,,,,,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15098.00602,14969.42279,14303.53857,15247.29329,15457.64436,14672.88206,15062.92433,16372.29152,20293.40789,23932.49128,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28951.15556,27907.96736,27340.88382,23075.1127,
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3901.525437,2867.229425,3338.655158,3916.051656,4583.584499,5765.048439,6473.435452,5980.258304,6447.463539,6293.304387,5994.528277,6594.717465,8011.898074,9741.058384,11667.63212,13317.72983,15159.14115,18333.9459,22649.37934,19698.49209,19763.9638,21717.47839,19729.87051,19916.01939,19744.55861,17556.9243,
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,22219.57253,23269.3818,26333.53744,25488.51952,27087.55845,31729.69976,30564.24781,27045.71913,27340.67288,26795.99113,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41788.04479,46807.41638,44065.24891,46530.91143,47902.65288,41178.4566,
